algorithm,n,time

quadratic,332,0.15300989151000977

quadratic,468,0.1600651741027832

quadratic,468,0.1443178653717041

quadratic,468,0.15772533416748047

quadratic,468,0.1319575309753418

quadratic,468,0.1393141746520996

quadratic,660,0.1639702320098877

quadratic,660,0.15872931480407715

quadratic,660,0.15607047080993652

quadratic,660,0.16764569282531738

quadratic,660,0.17278480529785156

quadratic,931,0.171555757522583

quadratic,931,0.1675128936767578

quadratic,931,0.16008853912353516

quadratic,931,0.16104674339294434

quadratic,931,0.15952491760253906

quadratic,1313,0.17223453521728516

quadratic,1313,0.15665340423583984

quadratic,1313,0.15477705001831055

quadratic,1313,0.2006392478942871

quadratic,1313,0.17864394187927246

quadratic,1852,0.17093753814697266

quadratic,1852,0.16961336135864258

quadratic,1852,0.15875029563903809

quadratic,1852,0.1647324562072754

quadratic,1852,0.1608874797821045

quadratic,2611,0.16957736015319824

quadratic,2611,0.16376447677612305

quadratic,2611,0.195173978805542

quadratic,2611,0.21009516716003418

quadratic,2611,0.24995803833007812

quadratic,3682,0.20999455451965332

quadratic,3682,0.20974278450012207

quadratic,3682,0.17512226104736328

quadratic,3682,0.16553187370300293

quadratic,3682,0.17750167846679688

quadratic,5192,0.17970037460327148

quadratic,5192,0.17544913291931152

quadratic,5192,0.17264389991760254

quadratic,5192,0.1786513328552246

quadratic,5192,0.17595481872558594

quadratic,7321,0.1917705535888672

quadratic,7321,0.20139122009277344

quadratic,7321,0.20020461082458496

quadratic,7321,0.20427536964416504

quadratic,7321,0.200547456741333

quadratic,10323,0.23515725135803223

quadratic,10323,0.2700831890106201

quadratic,10323,0.25493621826171875

quadratic,10323,0.22518157958984375

quadratic,10323,0.2257215976715088

quadratic,14556,0.2749001979827881

quadratic,14556,0.2696385383605957

quadratic,14556,0.25940513610839844

quadratic,14556,0.2725517749786377

quadratic,14556,0.28449535369873047

quadratic,20525,0.38152194023132324

quadratic,20525,0.4139833450317383

quadratic,20525,0.3597404956817627

quadratic,20525,0.4409172534942627

quadratic,20525,0.421497106552124

quadratic,28940,0.5301055908203125

quadratic,28940,0.5101041793823242

quadratic,28940,0.5236988067626953

quadratic,28940,0.5201923847198486

quadratic,28940,0.5274624824523926

quadratic,40805,0.8761718273162842

quadratic,40805,0.9069631099700928

quadratic,40805,0.8324553966522217

quadratic,40805,0.8298616409301758

quadratic,40805,0.919945240020752

quadratic,57536,1.494391679763794

quadratic,57536,1.5348997116088867

quadratic,57536,1.4747533798217773

quadratic,57536,1.4548728466033936

quadratic,57536,1.4935805797576904

quadratic,81126,2.704690456390381

quadratic,81126,2.6940298080444336

quadratic,81126,2.790268659591675

quadratic,81126,2.7019989490509033

quadratic,81126,2.69700026512146

quadratic,114387,5.136257886886597

quadratic,114387,5.170611381530762

quadratic,114387,5.140204429626465

quadratic,114387,5.205978870391846

quadratic,114387,5.169745206832886

quadratic,161286,10.200812816619873

quadratic,161286,10.047520399093628

quadratic,161286,10.074422121047974

quadratic,161286,10.040063858032227

quadratic,161286,10.035047054290771

quadratic,227414,19.786902904510498

quadratic,227414,19.759957551956177

quadratic,227414,19.755093097686768

quadratic,227414,19.740150928497314

quadratic,227414,19.774735927581787

hashmap,30,0.13267731666564941

hashmap,30,0.12594389915466309

hashmap,30,0.1354386806488037

hashmap,30,0.12216782569885254

hashmap,30,0.12724971771240234

hashmap,42,0.12061452865600586

hashmap,42,0.1312391757965088

hashmap,42,0.1413891315460205

