algorithm,n,time
fourSum_cubic,84,0.14100337028503418

fourSum_cubic,84,0.1419985294342041

fourSum_cubic,84,0.14499831199645996

fourSum_cubic,118,0.15999984741210938

fourSum_cubic,118,0.15900063514709473

fourSum_cubic,118,0.20000100135803223

fourSum_cubic,118,0.17099809646606445

fourSum_cubic,118,0.17299938201904297

fourSum_cubic,167,0.17400002479553223

fourSum_cubic,167,0.15799951553344727

fourSum_cubic,167,0.17300009727478027

fourSum_cubic,167,0.15803909301757812

fourSum_cubic,167,0.17166471481323242

fourSum_cubic,235,0.18520188331604004

fourSum_cubic,235,0.14109492301940918

fourSum_cubic,235,0.15480327606201172

fourSum_cubic,235,0.13996601104736328

fourSum_cubic,235,0.13899970054626465

fourSum_cubic,332,0.15799927711486816

fourSum_cubic,332,0.15699982643127441

fourSum_cubic,332,0.1569993495941162

fourSum_cubic,332,0.14400005340576172

fourSum_cubic,332,0.15700101852416992

fourSum_cubic,468,0.15500092506408691

fourSum_cubic,468,0.15598821640014648

fourSum_cubic,468,0.15622615814208984

fourSum_cubic,468,0.15926527976989746

fourSum_cubic,468,0.16103458404541016

fourSum_cubic,660,0.1909639835357666

fourSum_cubic,660,0.192000150680542

fourSum_cubic,660,0.1919994354248047

fourSum_cubic,660,0.1900010108947754

fourSum_cubic,660,0.18900012969970703

fourSum_cubic,931,0.257000207901001

fourSum_cubic,931,0.2690250873565674

fourSum_cubic,931,0.2520005702972412

fourSum_cubic,931,0.25099897384643555

fourSum_cubic,931,0.26703524589538574

fourSum_cubic,1313,0.4569668769836426

fourSum_cubic,1313,0.4440004825592041

fourSum_cubic,1313,0.45897841453552246

fourSum_cubic,1313,0.45702528953552246

fourSum_cubic,1313,0.4580960273742676

fourSum_cubic,1852,0.9750773906707764

fourSum_cubic,1852,0.9733574390411377

fourSum_cubic,1852,0.9760010242462158

fourSum_cubic,1852,1.0120322704315186

fourSum_cubic,1852,0.9859237670898438

fourSum_cubic,2611,2.54416823387146

fourSum_cubic,2611,2.528010606765747

fourSum_cubic,2611,2.4001479148864746

